Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
94,18,8,146,8,Some Random Commen with Id 94
95,20,8,191,1,Some Random Commen with Id 95
96,21,9,190,8,Some Random Commen with Id 96
97,21,9,138,4,Some Random Commen with Id 97
98,21,9,151,0,Some Random Commen with Id 98
99,22,4,185,6,Some Random Commen with Id 99
100,22,4,65,1,Some Random Commen with Id 100
101,23,2,84,9,Some Random Commen with Id 101
102,23,2,170,7,Some Random Commen with Id 102
103,23,2,85,7,Some Random Commen with Id 103
104,23,2,40,5,Some Random Commen with Id 104
105,23,2,143,2,Some Random Commen with Id 105
106,24,1,114,2,Some Random Commen with Id 106
107,24,1,128,8,Some Random Commen with Id 107
108,24,1,127,5,Some Random Commen with Id 108
109,24,1,68,6,Some Random Commen with Id 109
110,25,5,50,8,Some Random Commen with Id 110
111,25,5,35,9,Some Random Commen with Id 111
112,25,5,27,9,Some Random Commen with Id 112
113,25,5,148,6,Some Random Commen with Id 113
114,25,5,175,6,Some Random Commen with Id 114
115,25,5,151,9,Some Random Commen with Id 115
116,25,5,49,4,Some Random Commen with Id 116
117,25,5,55,2,Some Random Commen with Id 117
118,25,5,113,2,Some Random Commen with Id 118
119,26,2,139,1,Some Random Commen with Id 119
120,26,2,161,0,Some Random Commen with Id 120
121,28,5,38,8,Some Random Commen with Id 121
122,28,5,112,8,Some Random Commen with Id 122
123,28,5,26,9,Some Random Commen with Id 123
124,28,5,7,0,Some Random Commen with Id 124
125,28,5,130,5,Some Random Commen with Id 125
126,28,5,32,7,Some Random Commen with Id 126
127,29,4,65,9,Some Random Commen with Id 127
128,29,4,40,9,Some Random Commen with Id 128
129,30,8,130,2,Some Random Commen with Id 129
130,30,8,8,2,Some Random Commen with Id 130
131,31,1,187,5,Some Random Commen with Id 131
132,31,1,139,6,Some Random Commen with Id 132
133,31,1,115,3,Some Random Commen with Id 133
134,31,1,26,4,Some Random Commen with Id 134
135,31,1,20,4,Some Random Commen with Id 135
136,33,3,20,1,Some Random Commen with Id 136
137,33,3,25,4,Some Random Commen with Id 137
138,33,3,164,1,Some Random Commen with Id 138
139,33,3,44,3,Some Random Commen with Id 139
140,33,3,90,7,Some Random Commen with Id 140
141,33,3,95,1,Some Random Commen with Id 141
142,33,3,190,0,Some Random Commen with Id 142
143,33,3,162,3,Some Random Commen with Id 143
144,33,3,16,9,Some Random Commen with Id 144
145,34,4,94,4,Some Random Commen with Id 145
146,34,4,84,0,Some Random Commen with Id 146
147,34,4,99,9,Some Random Commen with Id 147
148,34,4,104,4,Some Random Commen with Id 148
149,34,4,67,5,Some Random Commen with Id 149
150,34,4,84,7,Some Random Commen with Id 150
151,34,4,27,5,Some Random Commen with Id 151
152,35,2,190,1,Some Random Commen with Id 152
153,35,2,13,2,Some Random Commen with Id 153
154,36,2,29,6,Some Random Commen with Id 154
155,36,2,82,8,Some Random Commen with Id 155
156,37,5,44,2,Some Random Commen with Id 156
157,37,5,145,0,Some Random Commen with Id 157
158,37,5,97,6,Some Random Commen with Id 158
159,37,5,22,1,Some Random Commen with Id 159
160,37,5,77,4,Some Random Commen with Id 160
161,37,5,88,3,Some Random Commen with Id 161
162,37,5,156,9,Some Random Commen with Id 162
163,38,8,197,6,Some Random Commen with Id 163
164,38,8,84,0,Some Random Commen with Id 164
165,38,8,179,6,Some Random Commen with Id 165
166,38,8,64,2,Some Random Commen with Id 166
167,38,8,118,5,Some Random Commen with Id 167
168,38,8,33,4,Some Random Commen with Id 168
169,38,8,161,6,Some Random Commen with Id 169
170,38,8,15,4,Some Random Commen with Id 170
